Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
JRO,Nuveen Floating Rate Income Opportuntiy Fund,7.52,$304.87M,2004,n/a,n/a,https://old.nasdaq.com/symbol/jro
NKG,Nuveen Georgia Quality Municipal Income Fund ,11.6159,$120.8M,2002,n/a,n/a,https://old.nasdaq.com/symbol/nkg
JGH,Nuveen Global High Income Fund,12.1,$280.45M,2014,n/a,n/a,https://old.nasdaq.com/symbol/jgh
JHY,Nuveen High Income 2020 Target Term Fund,9.17,$144.88M,2015,n/a,n/a,https://old.nasdaq.com/symbol/jhy
JHAA,Nuveen High Income 2023 Target Term Fund,9.4486,$73.91M,2018,n/a,n/a,https://old.nasdaq.com/symbol/jhaa
JHB,Nuveen High Income November 2021 Target Term Fund,8.8977,$497.38M,2016,n/a,n/a,https://old.nasdaq.com/symbol/jhb
NXC,Nuveen Insured California Select Tax-Free Income Portfolio,14.64,$92.99M,1992,n/a,n/a,https://old.nasdaq.com/symbol/nxc
NXN,Nuveen Insured New York Select Tax-Free Income Portfolio,12.83,$50.36M,1992,n/a,n/a,https://old.nasdaq.com/symbol/nxn
NID,Nuveen Intermediate Duration Municipal Term Fund,12.55,$588.72M,2012,n/a,n/a,https://old.nasdaq.com/symbol/nid
NMY,Nuveen Maryland Quality Municipal Income Fund,12,$277.2M,1993,n/a,n/a,https://old.nasdaq.com/symbol/nmy
NMT,Nuveen Massachusetts Municipal Income Fund,12.77,$119.05M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/nmt
NUM,Nuveen Michigan Quality Municipal Income Fund,13.11,$265.17M,1991,n/a,n/a,https://old.nasdaq.com/symbol/num
NMS,Nuveen Minnesota Quality Municipal Income Fund,13.03,$75.34M,2014,n/a,n/a,https://old.nasdaq.com/symbol/nms
NOM,Nuveen Missouri Quality Municipal Income Fund,14,$32.84M,1993,n/a,n/a,https://old.nasdaq.com/symbol/nom
JLS,Nuveen Mortgage and Income Fund,17.76,$97.46M,2009,n/a,n/a,https://old.nasdaq.com/symbol/jls
JMM,Nuveen Multi-Market Income Fund,6.348,$60.07M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/jmm
NHA,Nuveen Municipal 2021 Target Term Fund,9.61,$82.86M,2016,n/a,n/a,https://old.nasdaq.com/symbol/nha
NZF,Nuveen Municipal Credit Income Fund,13.55,$1.93B,2007,n/a,n/a,https://old.nasdaq.com/symbol/nzf
NMCO,Nuveen Municipal Credit Opportunities Fund,10.61,$565.12M,2019,n/a,n/a,https://old.nasdaq.com/symbol/nmco
NMZ,Nuveen Municipal High Income Opportunity Fund,12.25,$967.32M,2003,n/a,n/a,https://old.nasdaq.com/symbol/nmz
NMI,"Nuveen Municipal Income Fund, Inc.",10.23,$93.63M,1988,n/a,n/a,https://old.nasdaq.com/symbol/nmi
NJV,Nuveen New Jersey Municipal Value Fund,12.43,$19.03M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/njv
NXJ,Nuveen New Jersey Quality Municipal Income Fund,12.85,$533.38M,2001,n/a,n/a,https://old.nasdaq.com/symbol/nxj
NRK,Nuveen New York AMT-Free Quality Municipal,12.14,$1.06B,2002,n/a,n/a,https://old.nasdaq.com/symbol/nrk
NYV,Nuveen New York Municipal Value Fund 2,13.205,$31.03M,2009,n/a,n/a,https://old.nasdaq.com/symbol/nyv
NNY,"Nuveen New York Municipal Value Fund, Inc.",9.08,$138.3M,1988,n/a,n/a,https://old.nasdaq.com/symbol/nny
NAN,Nuveen New York Quality Municipal Income Fund,12.77,$393.97M,1999,n/a,n/a,https://old.nasdaq.com/symbol/nan
NUO,Nuveen Ohio Quality Municipal Income Fund,14.48,$265.23M,1991,n/a,n/a,https://old.nasdaq.com/symbol/nuo
NPN,Nuveen Pennsylvania Municipal Value Fund,13.343,$16.27M,2009,n/a,n/a,https://old.nasdaq.com/symbol/npn
NQP,Nuveen Pennsylvania Quality Municipal Income Fund,13.14,$491.22M,1991,n/a,n/a,https://old.nasdaq.com/symbol/nqp
JPC,Nuveen Preferred & Income Opportunities Fund,7.82,$808.06M,2003,n/a,n/a,https://old.nasdaq.com/symbol/jpc
JPS,Nuveen Preferred & Income Securities Fund,7.89,$1.61B,2002,n/a,n/a,https://old.nasdaq.com/symbol/jps
JPT,Nuveen Preferred and Income 2022 Term Fund,21.2499,$145.26M,2017,n/a,n/a,https://old.nasdaq.com/symbol/jpt
JPI,Nuveen Preferred and Income Term Fund,20.05,$456.28M,2012,n/a,n/a,https://old.nasdaq.com/symbol/jpi
NAD,Nuveen Quality Municipal Income Fund,13.32,$2.82B,1999,n/a,n/a,https://old.nasdaq.com/symbol/nad
JRI,Nuveen Real Asset Income and Growth Fund,10.65,$292.55M,2012,n/a,n/a,https://old.nasdaq.com/symbol/jri
JRS,Nuveen Real Estate Fund,6.98,$201.67M,2001,n/a,n/a,https://old.nasdaq.com/symbol/jrs
BXMX,Nuveen S&P 500 Buy-Write Income Fund,10.86,$1.13B,n/a,n/a,n/a,https://old.nasdaq.com/symbol/bxmx
SPXX,Nuveen S&P 500 Dynamic Overwrite Fund,12.64,$217.3M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/spxx
NIM,Nuveen Select Maturities Municipal Fund,9.52,$118.48M,1992,n/a,n/a,https://old.nasdaq.com/symbol/nim
NXP,Nuveen Select Tax Free Income Portfolio,14.87,$246.51M,1992,n/a,n/a,https://old.nasdaq.com/symbol/nxp
NXQ,Nuveen Select Tax Free Income Portfolio II,14.16,$250.83M,1992,n/a,n/a,https://old.nasdaq.com/symbol/nxq
NXR,Nuveen Select Tax Free Income Portfolio III,15.3,$199.6M,1992,n/a,n/a,https://old.nasdaq.com/symbol/nxr
NSL,Nuveen Senior Income Fund,4.45,$171.82M,1999,n/a,n/a,https://old.nasdaq.com/symbol/nsl
JSD,Nuveen Short Duration Credit Opportunities Fund,11.1,$112.06M,2011,n/a,n/a,https://old.nasdaq.com/symbol/jsd
NBB,Nuveen Taxable Municipal Income Fund,19.75,$540.33M,2010,n/a,n/a,https://old.nasdaq.com/symbol/nbb
JTD,Nuveen Tax-Advantaged Dividend Growth Fund,12.56,$181.92M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/jtd
JTA,Nuveen Tax-Advantaged Total Return Strategy Fund,7.8268,$108.41M,2004,n/a,n/a,https://old.nasdaq.com/symbol/jta
NPV,Nuveen Virginia Quality Municipal Income Fund,12.82,$229.2M,1993,n/a,n/a,https://old.nasdaq.com/symbol/npv
NIQ,Nuveenn Intermediate Duration Quality Municipal Term Fund,13.26,$173.67M,2013,n/a,n/a,https://old.nasdaq.com/symbol/niq
NVT,nVent Electric plc,18.32,$3.11B,2018,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/nvt
NVR,"NVR, Inc.",3100.63,$11.41B,n/a,Capital Goods,Homebuilding,https://old.nasdaq.com/symbol/nvr
CTEST,NYSE Test One,25,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ctest
CTEST.E,NYSE Test One,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ctest.e
CTEST.G,NYSE Test One,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ctest.g
CTEST.L,NYSE Test One,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ctest.l
CTEST.O,NYSE Test One,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ctest.o
CTEST.S,NYSE Test One,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ctest.s
CTEST.V,NYSE Test One,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ctest.v
OAC,Oaktree Acquisition Corp.,9.975,$250.93M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/oac
OAC.U,Oaktree Acquisition Corp.,n/a,n/a,2019,n/a,n/a,https://old.nasdaq.com/symbol/oac.u
OAC.WS,Oaktree Acquisition Corp.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/oac.ws
OAK^A,"Oaktree Capital Group, LLC",26.302,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/oak^a
OAK^B,"Oaktree Capital Group, LLC",26.02,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/oak^b
OXY,Occidental Petroleum Corporation,15.07,$13.82B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/oxy
OII,"Oceaneering International, Inc.",5.76,$571.78M,n/a,Energy,Oilfield Services/Equipment,https://old.nasdaq.com/symbol/oii
OCN,Ocwen Financial Corporation,0.68,$88.18M,n/a,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/ocn
OFG,OFG Bancorp,11.7,$600.68M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/ofg
OFG^A,OFG Bancorp,24.53,n/a,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/ofg^a
OFG^B,OFG Bancorp,23.7774,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ofg^b
OFG^D,OFG Bancorp,23.26,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ofg^d
OGE,OGE Energy Corp,30.79,$6.16B,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/oge
OI,"O-I Glass, Inc.",7.17,$1.12B,n/a,Consumer Durables,Containers/Packaging,https://old.nasdaq.com/symbol/oi
OIBR.C,Oi S.A.,n/a,n/a,2014,n/a,n/a,https://old.nasdaq.com/symbol/oibr.c
OIS,"Oil States International, Inc.",3.17,$193.18M,2001,Energy,Metal Fabrications,https://old.nasdaq.com/symbol/ois
ODC,Oil-Dri Corporation Of America,35.4,$269.47M,n/a,Consumer Durables,Miscellaneous manufacturing industries,https://old.nasdaq.com/symbol/odc
ORI,Old Republic International Corporation,14.82,$4.51B,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/ori
OLN,Olin Corporation,11.92,$1.88B,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/oln
OHI,"Omega Healthcare Investors, Inc.",29.47,$6.69B,1992,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/ohi
OMC,Omnicom Group Inc.,53.17,$11.39B,n/a,Technology,Advertising,https://old.nasdaq.com/symbol/omc
ONDK,"On Deck Capital, Inc.",0.662,$38.68M,2014,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/ondk
OGS,"ONE Gas, Inc.",80.66,$4.26B,2014,Public Utilities,Oil/Gas Transmission,https://old.nasdaq.com/symbol/ogs
OLP,"One Liberty Properties, Inc.",15.7,$316.39M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/olp
OCFT,"OneConnect Financial Technology Co., Ltd.",16.79,$6.2B,2019,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/ocft
OMF,"OneMain Holdings, Inc.",22.13,$2.97B,2013,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/omf
OKE,"ONEOK, Inc.",35.07,$14.52B,n/a,Public Utilities,Oil & Gas Production,https://old.nasdaq.com/symbol/oke
ONE,OneSmart International Education Group Limited,4.53,$732.97M,2018,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/one
ONTO,Onto Innovation Inc.,32.81,$1.59B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/onto
OOMA,"Ooma, Inc.",11.63,$256.65M,2015,Technology,EDP Services,https://old.nasdaq.com/symbol/ooma
OPY,"Oppenheimer Holdings, Inc.",20.92,$266.08M,n/a,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/opy
ORCL,Oracle Corporation,53.15,$167.61B,1986,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/orcl
ORAN,Orange,11.46,$30.37B,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/oran
ORC,"Orchid Island Capital, Inc.",4.01,$265.61M,2013,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/orc
OEC,Orion Engineered Carbons S.A,8.29,$501.44M,2014,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/oec
ORN,"Orion Group Holdings, Inc.",2.37,$70.56M,n/a,Basic Industries,Military/Government/Technical,https://old.nasdaq.com/symbol/orn
IX,Orix Corp Ads,59.78,$14.93B,n/a,Finance,Diversified Financial Services,https://old.nasdaq.com/symbol/ix
ORA,"Ormat Technologies, Inc.",70.09,$3.58B,2004,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/ora
OSK,Oshkosh Corporation,65.81,$4.48B,n/a,Capital Goods,Auto Manufacturing,https://old.nasdaq.com/symbol/osk
OR,Osisko Gold Royalties Ltd.,9.8,$1.62B,2016,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/or
SFTW,Osprey Technology Acquisition Corp.,9.66,$381.87M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/sftw
SFTW.U,Osprey Technology Acquisition Corp.,n/a,n/a,2019,n/a,n/a,https://old.nasdaq.com/symbol/sftw.u
SFTW.WS,Osprey Technology Acquisition Corp.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/sftw.ws
OTIS,Otis Worldwide Corporation,52.13,$22.58B,2020,Energy,Consumer Electronics/Appliances,https://old.nasdaq.com/symbol/otis
OUT,OUTFRONT Media Inc.,14.31,$2.07B,2014,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/out
OSG,"Overseas Shipholding Group, Inc.",1.98,$170.24M,2015,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/osg
OVV,Ovintiv Inc.,7.45,$1.94B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/ovv
OMI,"Owens & Minor, Inc.",7.61,$479.49M,n/a,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/omi
OC,Owens Corning Inc,45.48,$4.9B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/oc
ORCC,Owl Rock Capital Corporation,12.78,$4.9B,2019,n/a,n/a,https://old.nasdaq.com/symbol/orcc
OXM,"Oxford Industries, Inc.",39.89,$669.24M,n/a,Consumer Non-Durables,Apparel,https://old.nasdaq.com/symbol/oxm
ROYT,Pacific Coast Oil Trust,0.3033,$11.7M,2012,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/royt
PACD,Pacific Drilling S.A.,0.4586,$34.49M,2018,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/pacd
PCG,Pacific Gas & Electric Co.,12.27,$6.5B,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/pcg
PKG,Packaging Corporation of America,93.71,$8.89B,2000,Consumer Durables,Containers/Packaging,https://old.nasdaq.com/symbol/pkg
PD,"PagerDuty, Inc.",24.82,$1.95B,2019,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/pd
PAGS,PagSeguro Digital Ltd.,27.34,$8.97B,2018,Technology,EDP Services,https://old.nasdaq.com/symbol/pags
PANW,"Palo Alto Networks, Inc.",226.14,$22.55B,2012,Technology,Computer peripheral equipment,https://old.nasdaq.com/symbol/panw
PAM,Pampa Energia S.A.,11.69,$735.58M,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/pam
PHX,Panhandle Royalty Company,4.62,$75.73M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/phx
PARR,"Par Pacific Holdings, Inc.",9,$484.77M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/parr
PAR,PAR Technology Corporation,24.89,$454.08M,n/a,Miscellaneous,Office Equipment/Supplies/Services,https://old.nasdaq.com/symbol/par
PGRE,"Paramount Group, Inc.",7.95,$1.76B,2014,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/pgre
PKE,Park Aerospace Corp.,12.11,$248.48M,n/a,Capital Goods,Military/Government/Technical,https://old.nasdaq.com/symbol/pke
PK,Park Hotels & Resorts Inc.,8.89,$2.09B,2016,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/pk
PH,Parker-Hannifin Corporation,165.14,$21.17B,n/a,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/ph
PE,"Parsley Energy, Inc.",9.6,$3.96B,2014,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/pe
PSN,Parsons Corporation,39.39,$3.97B,2019,Technology,EDP Services,https://old.nasdaq.com/symbol/psn
PRE^F,PartnerRe Ltd.,25.1,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/pre^f
PRE^G,PartnerRe Ltd.,25.7,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/pre^g
PRE^H,PartnerRe Ltd.,25.98,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/pre^h
PRE^I,PartnerRe Ltd.,24.17,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/pre^i
PRTY,Party City Holdco Inc.,0.58,$54.8M,2015,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/prty
PAYC,"Paycom Software, Inc.",283.9,$16.63B,2014,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/payc
PBF,PBF Energy Inc.,10.92,$1.31B,2012,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/pbf
PBFX,PBF Logistics LP,9.37,$582.16M,2014,Energy,Natural Gas Distribution,https://old.nasdaq.com/symbol/pbfx
BTU,Peabody Energy Corporation,3.22,$314.59M,2017,Energy,Coal Mining,https://old.nasdaq.com/symbol/btu
PSO,"Pearson, Plc",5.47,$4.12B,n/a,Consumer Services,Books,https://old.nasdaq.com/symbol/pso
PEB,Pebblebrook Hotel Trust,11.58,$1.51B,2009,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/peb
PEB^C,Pebblebrook Hotel Trust,17.76,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/peb^c
PEB^D,Pebblebrook Hotel Trust,17.3,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/peb^d
PEB^E,Pebblebrook Hotel Trust,17.248,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/peb^e
PEB^F,Pebblebrook Hotel Trust,17.34,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/peb^f
PBA,Pembina Pipeline Corp.,24.2,$13.3B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/pba
PEI,Pennsylvania Real Estate Investment Trust,1.14,$89.88M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/pei
PEI^B,Pennsylvania Real Estate Investment Trust,4.965,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/pei^b
PEI^C,Pennsylvania Real Estate Investment Trust,4.5225,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/pei^c
PEI^D,Pennsylvania Real Estate Investment Trust,4.7,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/pei^d
PFSI,"PennyMac Financial Services, Inc.",29.02,$2.3B,2013,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/pfsi
PMT,PennyMac Mortgage Investment Trust,9.36,$934.52M,2009,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/pmt
PMT^A,PennyMac Mortgage Investment Trust,21.184,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/pmt^a
PMT^B,PennyMac Mortgage Investment Trust,20.65,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/pmt^b
PAG,"Penske Automotive Group, Inc.",33.65,$2.71B,n/a,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/pag
PNR,Pentair plc.,35.66,$5.91B,n/a,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/pnr
PEN,"Penumbra, Inc.",173.32,$6.08B,2015,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/pen
PFGC,Performance Food Group Company,24.85,$3.29B,2015,Consumer Non-Durables,Food Distributors,https://old.nasdaq.com/symbol/pfgc
PKI,"PerkinElmer, Inc.",93.32,$10.39B,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/pki
PBT,Permian Basin Royalty Trust,3.52,$164.06M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/pbt
PVL,Permianville Royalty Trust,1.34,$44.22M,2011,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/pvl
PRT,PermRock Royalty Trust,1.97,$23.97M,2018,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/prt
PRGO,Perrigo Company,54.96,$7.49B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/prgo
PRSP,Perspecta Inc.,23.28,$3.76B,2018,Technology,EDP Services,https://old.nasdaq.com/symbol/prsp
PTR,PetroChina Company Limited,35.72,$65.38B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/ptr
PBR,Petroleo Brasileiro S.A.- Petrobras,6.84,$44.61B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/pbr
PBR.A,Petroleo Brasileiro S.A.- Petrobras,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/pbr.a
PFE,"Pfizer, Inc.",38.07,$211.47B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/pfe
GHY,"PGIM Global High Yield Fund, Inc.",11.68,$477.99M,2012,n/a,n/a,https://old.nasdaq.com/symbol/ghy
ISD,"PGIM High Yield Bond Fund, Inc.",12.31,$409.39M,2012,n/a,n/a,https://old.nasdaq.com/symbol/isd
PGTI,"PGT Innovations, Inc.",12.68,$747.18M,2006,Capital Goods,Building Products,https://old.nasdaq.com/symbol/pgti
PM,Philip Morris International Inc,68.25,$106.27B,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/pm
PSX,Phillips 66,76.28,$33.31B,n/a,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/psx
PSXP,Phillips 66 Partners LP,44.39,$10.14B,2013,Energy,Natural Gas Distribution,https://old.nasdaq.com/symbol/psxp
FENG,Phoenix New Media Limited,1.345,$97.9M,2011,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/feng
DNK,Phoenix Tree Holdings Limited,9.7,$1.77B,2020,Consumer Services,Building operators,https://old.nasdaq.com/symbol/dnk
PHR,"Phreesia, Inc.",27.7,$1.04B,2019,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/phr
DOC,Physicians Realty Trust,16.18,$3.28B,2013,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/doc
PDM,"Piedmont Office Realty Trust, Inc.",14.7,$1.85B,n/a,Consumer Services,Building operators,https://old.nasdaq.com/symbol/pdm
PCQ,PIMCO California Municipal Income Fund,15.16,$285.46M,2001,n/a,n/a,https://old.nasdaq.com/symbol/pcq
PCK,Pimco California Municipal Income Fund II,8.19,$262.75M,2002,n/a,n/a,https://old.nasdaq.com/symbol/pck
PZC,PIMCO California Municipal Income Fund III,9.43,$210.66M,2002,n/a,n/a,https://old.nasdaq.com/symbol/pzc
PCM,"PIMCO Commercial Mortgage Securities Trust, Inc.",8.76,$101.72M,1993,n/a,n/a,https://old.nasdaq.com/symbol/pcm
PTY,Pimco Corporate & Income Opportunity Fund,14.21,$1.35B,2002,n/a,n/a,https://old.nasdaq.com/symbol/pty
PCN,Pimco Corporate & Income Stategy Fund,14.99,$596.17M,2001,n/a,n/a,https://old.nasdaq.com/symbol/pcn
PCI,PIMCO Dynamic Credit and Mortgage Income Fund,17.65,$2.47B,2013,n/a,n/a,https://old.nasdaq.com/symbol/pci
PDI,PIMCO Dynamic Income Fund,22.94,$1.33B,2012,n/a,n/a,https://old.nasdaq.com/symbol/pdi
NRGX,PIMCO Energy and Tactical Credit Opportunities Fund,8.03,$359M,2019,n/a,n/a,https://old.nasdaq.com/symbol/nrgx
PGP,Pimco Global Stocksplus & Income Fund,7.98,$87.21M,2005,n/a,n/a,https://old.nasdaq.com/symbol/pgp
PHK,Pimco High Income Fund,5.15,$678.15M,2003,n/a,n/a,https://old.nasdaq.com/symbol/phk
PKO,Pimco Income Opportunity Fund,20.58,$381.64M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/pko
PFL,PIMCO Income Strategy Fund,8.72,$261.55M,2003,n/a,n/a,https://old.nasdaq.com/symbol/pfl
PFN,PIMCO Income Strategy Fund II,7.85,$540.88M,2004,n/a,n/a,https://old.nasdaq.com/symbol/pfn
PMF,PIMCO Municipal Income Fund,12.31,$318.12M,2001,n/a,n/a,https://old.nasdaq.com/symbol/pmf
PML,Pimco Municipal Income Fund II,12.13,$759.68M,2002,n/a,n/a,https://old.nasdaq.com/symbol/pml
PMX,PIMCO Municipal Income Fund III,10.54,$348.35M,2002,n/a,n/a,https://old.nasdaq.com/symbol/pmx
