Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
VMO,Invesco Municipal Opportunity Trust,11.21,$755.72M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/vmo
VKQ,Invesco Municipal Trust,11.2,$619.59M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/vkq
VPV,Invesco Pennsylvania Value Municipal Income Trust,11.38,$271.18M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/vpv
IVZ,Invesco Plc,7.29,$3.35B,n/a,Finance,Investment Managers,https://old.nasdaq.com/symbol/ivz
IQI,Invesco Quality Municipal Income Trust,11.48,$607.11M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/iqi
VVR,Invesco Senior Income Trust,3.32,$508.06M,1998,n/a,n/a,https://old.nasdaq.com/symbol/vvr
VTN,Invesco Trust  for Investment Grade New York Municipal,11.58,$225.55M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/vtn
VGM,Invesco Trust for Investment Grade Municipals,11.58,$627.93M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/vgm
IIM,Invesco Value Municipal Income Trust,13.77,$647.97M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/iim
IRET,Investors Real Estate Trust,63.99,$778.5M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/iret
IRET^C,Investors Real Estate Trust,25.25,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/iret^c
NVTA,Invitae Corporation,17.13,$2.14B,2015,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/nvta
INVH,Invitation Homes Inc.,25.42,$13.82B,2017,Finance,Real Estate,https://old.nasdaq.com/symbol/invh
IO,Ion Geophysical Corporation,2.19,$32.93M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/io
IQV,"IQVIA Holdings, Inc.",138.56,$26.46B,2013,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://old.nasdaq.com/symbol/iqv
IRM,Iron Mountain Incorporated,23.67,$6.81B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/irm
IRS,IRSA Inversiones Y Representaciones S.A.,3.5095,$203.09M,n/a,Consumer Services,Homebuilding,https://old.nasdaq.com/symbol/irs
STAR          ,iStar Inc.,9.91,$763.65M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/star
STAR^D,iStar Inc.,22.5,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/star^d
STAR^G,iStar Inc.,21.69,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/star^g
STAR^I,iStar Inc.,20.88,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/star^i
ITCB,Ita? CorpBanca,3.6371,$1.24B,n/a,Finance,Commercial Banks,https://old.nasdaq.com/symbol/itcb
ITUB,Itau Unibanco Banco Holding SA,3.98,$38.85B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/itub
ITT,ITT Inc.,53.4,$4.61B,2011,Capital Goods,Fluid Controls,https://old.nasdaq.com/symbol/itt
IVH,Ivy High Income Opportunities Fund,10.47,$173.49M,2013,n/a,n/a,https://old.nasdaq.com/symbol/ivh
JPM,J P Morgan Chase & Co,90.45,$275.6B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/jpm
JPM^C,J P Morgan Chase & Co,26.66,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/jpm^c
JPM^D,J P Morgan Chase & Co,26.28,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/jpm^d
JPM^G,J P Morgan Chase & Co,25.36,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/jpm^g
JPM^H,J P Morgan Chase & Co,25.45,n/a,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/jpm^h
JPM^J,J P Morgan Chase & Co,24.81,n/a,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/jpm^j
JAX,"J. Alexander&#39;s Holdings, Inc.",3.9,$58.55M,2015,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/jax
JILL,"J. Jill, Inc.",0.514,$22.76M,2017,Consumer Non-Durables,Apparel,https://old.nasdaq.com/symbol/jill
JCP,"J.C. Penney Company, Inc. Holding Company",0.1819,$58.39M,n/a,Consumer Services,Department/Specialty Retail Stores,https://old.nasdaq.com/symbol/jcp
SJM,J.M. Smucker Company (The),114,$13B,n/a,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/sjm
JBL,Jabil Inc.,30.38,$4.58B,1993,Technology,Electrical Products,https://old.nasdaq.com/symbol/jbl
J,Jacobs Engineering Group Inc.,77.37,$10.07B,n/a,Basic Industries,Military/Government/Technical,https://old.nasdaq.com/symbol/j
JHX,James Hardie Industries plc.,14.41,$6.38B,n/a,Capital Goods,Building Materials,https://old.nasdaq.com/symbol/jhx
JHG,Janus Henderson Group plc,18.97,$3.51B,2017,Finance,Investment Managers,https://old.nasdaq.com/symbol/jhg
JOF,Japan Smaller Capitalization Fund Inc,7.48,$211.94M,1990,n/a,n/a,https://old.nasdaq.com/symbol/jof
JWS.U,Jaws Acquisition Corp.,n/a,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/jws.u
JBGS,JBG SMITH Properties,29.41,$3.93B,2017,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/jbgs
JEF,Jefferies Financial Group Inc.,13.45,$3.62B,n/a,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/jef
JELD,"JELD-WEN Holding, Inc.",14.09,$1.42B,2017,Basic Industries,Forest Products,https://old.nasdaq.com/symbol/jeld
JCAP,"Jernigan Capital, Inc.",11.83,$275.3M,2015,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/jcap
JCAP^B,"Jernigan Capital, Inc.",23.97,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/jcap^b
JT,Jianpu Technology Inc.,0.6888,$116.46M,2017,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/jt
JKS,JinkoSolar Holding Company Limited,15.6,$693.06M,2010,Technology,Semiconductors,https://old.nasdaq.com/symbol/jks
JMP,JMP Group LLC,2.7255,$53.36M,2007,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/jmp
JBT,John Bean Technologies Corporation,75.11,$2.38B,n/a,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/jbt
BTO,John Hancock Financial Opportunities Fund,20.51,$383.36M,1994,n/a,n/a,https://old.nasdaq.com/symbol/bto
HEQ,John Hancock Hedged Equity & Income Fund,11.17,$136.54M,2011,n/a,n/a,https://old.nasdaq.com/symbol/heq
JHS,John Hancock Income Securities Trust,13.96,$162.59M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/jhs
JHI,John Hancock Investors Trust,13.99,$121.81M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/jhi
HPF,John Hancock Pfd Income Fund II,16.68,$356.09M,2002,n/a,n/a,https://old.nasdaq.com/symbol/hpf
HPI,John Hancock Preferred Income Fund,17.61,$459.96M,2002,n/a,n/a,https://old.nasdaq.com/symbol/hpi
HPS,John Hancock Preferred Income Fund III,14.91,$472.11M,2003,n/a,n/a,https://old.nasdaq.com/symbol/hps
PDT,John Hancock Premium Dividend Fund,12.29,$597.09M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/pdt
